study,study_sample,sample_no,publishedyear,country,continent,samplingtype,psychotic_n,delusion_n,ethnicity,globeculturalcluster,diagnosiscoded,mooddisordercoded,setting,scale,validatedmeasure,clinicalassessment,percentfemales,agemean,psychosisdurationyears,percentantipsychoticmedication,qa,theme,cases
Kim 2001,Kim 2001 S_2,2,2001,China,Asia,Stratified,147,147.0,Chinese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Unstructured,0.367,36.5,8.8,,10,n_colleague_workshop,24.0
Kim 2018,Kim 2018 S_1,1,2018,South Korea,Asia,Purposive,42,33.0,South Korean,Confucian Asia,Schizophrenia,no,Inpatient,SAPS,Validated,Structured,0.455,32.6,3.6,,8,n_grandiose_grandioseability_grandeur,6.0
Kim 2018,Kim 2018 S_1,1,2018,South Korea,Asia,Purposive,42,33.0,South Korean,Confucian Asia,Schizophrenia,no,Inpatient,SAPS,Validated,Structured,0.455,32.6,3.6,,8,n_persecutory,31.0
Kim 2018,Kim 2018 S_1,1,2018,South Korea,Asia,Purposive,42,33.0,South Korean,Confucian Asia,Schizophrenia,no,Inpatient,SAPS,Validated,Structured,0.455,32.6,3.6,,8,n_guilt/sin,3.0
Kim 2018,Kim 2018 S_1,1,2018,South Korea,Asia,Purposive,42,33.0,South Korean,Confucian Asia,Schizophrenia,no,Inpatient,SAPS,Validated,Structured,0.455,32.6,3.6,,8,n_thoughtwithdrawal,0.0
Kim 2018,Kim 2018 S_1,1,2018,South Korea,Asia,Purposive,42,33.0,South Korean,Confucian Asia,Schizophrenia,no,Inpatient,SAPS,Validated,Structured,0.455,32.6,3.6,,8,n_somatic,0.0
Kim 2018,Kim 2018 S_1,1,2018,South Korea,Asia,Purposive,42,33.0,South Korean,Confucian Asia,Schizophrenia,no,Inpatient,SAPS,Validated,Structured,0.455,32.6,3.6,,8,n_thought_mindreading,0.0
Kim 2018,Kim 2018 S_1,1,2018,South Korea,Asia,Purposive,42,33.0,South Korean,Confucian Asia,Schizophrenia,no,Inpatient,SAPS,Validated,Structured,0.455,32.6,3.6,,8,n_reference,22.0
Kim 2018,Kim 2018 S_1,1,2018,South Korea,Asia,Purposive,42,33.0,South Korean,Confucian Asia,Schizophrenia,no,Inpatient,SAPS,Validated,Structured,0.455,32.6,3.6,,8,n_control,2.0
Kim 2018,Kim 2018 S_1,1,2018,South Korea,Asia,Purposive,42,33.0,South Korean,Confucian Asia,Schizophrenia,no,Inpatient,SAPS,Validated,Structured,0.455,32.6,3.6,,8,n_religious,4.0
Kim 2018,Kim 2018 S_1,1,2018,South Korea,Asia,Purposive,42,33.0,South Korean,Confucian Asia,Schizophrenia,no,Inpatient,SAPS,Validated,Structured,0.455,32.6,3.6,,8,n_thoughtbroadcasting_spokenaloud_dissemination,3.0
Kingdon 2010,Kingdon 2010 S_3,3,2010,UK,Europe,Purposive,33,,British,Anglo,Borderline Personality Disorder,no,Both,SCID,Validated,Structured,0.91,32.9,6.0,,10,n_paranoid,10.0
Kingdon 2010,Kingdon 2010 S_1,1,2010,UK,Europe,Purposive,59,,British,Anglo,Schizophrenia,no,Both,SCID,Validated,Structured,0.32,40.2,11.0,,10,n_paranoid,36.0
Kingdon 2010,Kingdon 2010 S_2,2,2010,UK,Europe,Purposive,19,,British,Anglo,Psychosis,no,Both,SCID,Validated,Structured,0.74,32.5,10.0,,8,n_paranoid,12.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_poverty,19.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_religious,47.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_thoughtinsertion,109.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_other,57.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_thoughtecho_gedankenlautwerden,89.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_jealousy,38.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_passivity,173.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_thoughtbroadcasting_spokenaloud_dissemination,163.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_thoughtwithdrawal,106.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_socialstatus_beingpolitical_royalfamily_king_hero,42.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_olfactoryreferencesyndrome_ors,33.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_reference,317.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_guilt/sin,41.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_persecutory,316.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_perception,182.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_somatic,76.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_hypochondriacal,81.0
Kitamura 1998,Kitamura 1998 S_1,1,1998,Japan,Asia,Purposive,429,,Japanese,Confucian Asia,Schizophrenia,no,Inpatient,None used,Not validated,Structured,0.44,37.8,4.8,,4,n_grandiose_grandioseability_grandeur,80.0
Kramer 2020,Kramer 2020 S_2,2,2020,Italy,Europe,Purposive,18,18.0,Italian,Latin Europe,Schizophrenia,no,Inpatient,None used,Not validated,Unstructured,0.389,48.3,19.7,1.0,7,n_persecutory,14.0
Kramer 2020,Kramer 2020 S_1,1,2020,Italy,Europe,Purposive,18,18.0,Italian,Latin Europe,Delusional Disorder,no,Inpatient,None used,Not validated,Unstructured,0.722,55.9,13.9,1.0,7,n_persecutory,9.0
Kramer 2020,Kramer 2020 S_1,1,2020,Italy,Europe,Purposive,18,18.0,Italian,Latin Europe,Delusional Disorder,no,Inpatient,None used,Not validated,Unstructured,0.722,55.9,13.9,1.0,7,n_poisoning,3.0
Kramer 2020,Kramer 2020 S_2,2,2020,Italy,Europe,Purposive,18,18.0,Italian,Latin Europe,Schizophrenia,no,Inpatient,None used,Not validated,Unstructured,0.389,48.3,19.7,1.0,7,n_poisoning,4.0
Kramer 2020,Kramer 2020 S_1,1,2020,Italy,Europe,Purposive,18,18.0,Italian,Latin Europe,Delusional Disorder,no,Inpatient,None used,Not validated,Unstructured,0.722,55.9,13.9,1.0,7,n_poverty,2.0
Kramer 2020,Kramer 2020 S_1,1,2020,Italy,Europe,Purposive,18,18.0,Italian,Latin Europe,Delusional Disorder,no,Inpatient,None used,Not validated,Unstructured,0.722,55.9,13.9,1.0,7,n_hypochondriacal,2.0
Kramer 2020,Kramer 2020 S_1,1,2020,Italy,Europe,Purposive,18,18.0,Italian,Latin Europe,Delusional Disorder,no,Inpatient,None used,Not validated,Unstructured,0.722,55.9,13.9,1.0,7,n_jealousy,2.0
Kuhs 1991,Kuhs 1991 S_1,1,1991,Germany,Europe,Purposive,23,23.0,German,Germanic Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.478,54.7,,1.0,5,n_mixed_multiple_various,16.0
Kuhs 1991,Kuhs 1991 S_1,1,1991,Germany,Europe,Purposive,23,23.0,German,Germanic Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.478,54.7,,1.0,5,n_monothematic,7.0
Kuhs 1991,Kuhs 1991 S_1,1,1991,Germany,Europe,Purposive,23,23.0,German,Germanic Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.478,54.7,,1.0,5,n_guilt/sin,19.0
Kuhs 1991,Kuhs 1991 S_1,1,1991,Germany,Europe,Purposive,23,23.0,German,Germanic Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.478,54.7,,1.0,5,n_hypochondriacal,9.0
Kuhs 1991,Kuhs 1991 S_1,1,1991,Germany,Europe,Purposive,23,23.0,German,Germanic Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.478,54.7,,1.0,5,n_persecutory,7.0
Kuhs 1991,Kuhs 1991 S_1,1,1991,Germany,Europe,Purposive,23,23.0,German,Germanic Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.478,54.7,,1.0,5,n_nihilistic_negation,3.0
Kuhs 1991,Kuhs 1991 S_1,1,1991,Germany,Europe,Purposive,23,23.0,German,Germanic Europe,Major Depressive Disorder,yes,Inpatient,None used,Not validated,Unstructured,0.478,54.7,,1.0,5,n_poverty,12.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_massmedia,14.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_jealousy,12.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_catastrophe_worldcatastrophe,4.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_beingfollowed,15.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_aliens,12.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_guilt/sin,7.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_simpledelusionconcerningappearance,1.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_identity_grandioseidentity,15.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_paranormal,33.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_sexual,12.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_misinterpretation,44.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_hypochondriacal,8.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_physical_chemical_technical,8.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_grandiose_grandioseability_grandeur,19.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_persecutory,83.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_subcultural,17.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_thought_mindreading,31.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_pregnancy,0.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_primary,2.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_assistance,11.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_systemised,84.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_depersonalisation,3.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_fantastic_delusionalmemories,0.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_control,29.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_religious,14.0
Kulhara 1986,Kulhara 1986 S_1,1,1986,India,Asia,Purposive,98,98.0,Indian,Southern Asia,Schizophrenia,no,Inpatient,PSE,Validated,Structured,0.49,27.65,,,9,n_reference,72.0
Langdon 2010,Langdon 2010 S_1,1,2010,Australia,Australia,Purposive,30,30.0,Australian,Anglo,Psychosis,no,Outpatient,DIP,Validated,Structured,0.343,35.9,12.6,,10,n_persecutory,23.0
Langdon 2010,Langdon 2010 S_1,1,2010,Australia,Australia,Purposive,30,30.0,Australian,Anglo,Psychosis,no,Outpatient,DIP,Validated,Structured,0.343,35.9,12.6,,10,n_guilt/sin,2.0
Langdon 2010,Langdon 2010 S_1,1,2010,Australia,Australia,Purposive,30,30.0,Australian,Anglo,Psychosis,no,Outpatient,DIP,Validated,Structured,0.343,35.9,12.6,,10,n_reference,12.0
Langdon 2010,Langdon 2010 S_1,1,2010,Australia,Australia,Purposive,30,30.0,Australian,Anglo,Psychosis,no,Outpatient,DIP,Validated,Structured,0.343,35.9,12.6,,10,n_grandiose_grandioseability_grandeur,13.0
Langdon 2010,Langdon 2010 S_1,1,2010,Australia,Australia,Purposive,30,30.0,Australian,Anglo,Psychosis,no,Outpatient,DIP,Validated,Structured,0.343,35.9,12.6,,10,n_lossofboundary,17.0
Lemonde 2021,Lemonde 2021 S_1,1,2021,Canada,North America,Purposive,598,598.0,Mixed Canadian,Anglo,First Episode Psychosis,no,Both,SAPS,Validated,Structured,0.3,23.8,0.01,0.818,10,n_mixed_multiple_various,513.0
Lemonde 2021,Lemonde 2021 S_1,1,2021,Canada,North America,Purposive,598,598.0,Mixed Canadian,Anglo,First Episode Psychosis,no,Both,SAPS,Validated,Structured,0.3,23.8,0.01,0.818,10,n_thought_mindreading,150.0
Lemonde 2021,Lemonde 2021 S_1,1,2021,Canada,North America,Purposive,598,598.0,Mixed Canadian,Anglo,First Episode Psychosis,no,Both,SAPS,Validated,Structured,0.3,23.8,0.01,0.818,10,n_guilt/sin,89.0
Lemonde 2021,Lemonde 2021 S_1,1,2021,Canada,North America,Purposive,598,598.0,Mixed Canadian,Anglo,First Episode Psychosis,no,Both,SAPS,Validated,Structured,0.3,23.8,0.01,0.818,10,n_grandiose_grandioseability_grandeur,256.0
Lemonde 2021,Lemonde 2021 S_1,1,2021,Canada,North America,Purposive,598,598.0,Mixed Canadian,Anglo,First Episode Psychosis,no,Both,SAPS,Validated,Structured,0.3,23.8,0.01,0.818,10,n_somatic,107.0
Lemonde 2021,Lemonde 2021 S_1,1,2021,Canada,North America,Purposive,598,598.0,Mixed Canadian,Anglo,First Episode Psychosis,no,Both,SAPS,Validated,Structured,0.3,23.8,0.01,0.818,10,n_thoughtbroadcasting_spokenaloud_dissemination,72.0
Lemonde 2021,Lemonde 2021 S_1,1,2021,Canada,North America,Purposive,598,598.0,Mixed Canadian,Anglo,First Episode Psychosis,no,Both,SAPS,Validated,Structured,0.3,23.8,0.01,0.818,10,n_thoughtwithdrawal,38.0
Lemonde 2021,Lemonde 2021 S_1,1,2021,Canada,North America,Purposive,598,598.0,Mixed Canadian,Anglo,First Episode Psychosis,no,Both,SAPS,Validated,Structured,0.3,23.8,0.01,0.818,10,n_monothematic,76.0
Lemonde 2021,Lemonde 2021 S_1,1,2021,Canada,North America,Purposive,598,598.0,Mixed Canadian,Anglo,First Episode Psychosis,no,Both,SAPS,Validated,Structured,0.3,23.8,0.01,0.818,10,n_reference,413.0
Lemonde 2021,Lemonde 2021 S_1,1,2021,Canada,North America,Purposive,598,598.0,Mixed Canadian,Anglo,First Episode Psychosis,no,Both,SAPS,Validated,Structured,0.3,23.8,0.01,0.818,10,n_jealousy,21.0
Lemonde 2021,Lemonde 2021 S_1,1,2021,Canada,North America,Purposive,598,598.0,Mixed Canadian,Anglo,First Episode Psychosis,no,Both,SAPS,Validated,Structured,0.3,23.8,0.01,0.818,10,n_religious,177.0
Lemonde 2021,Lemonde 2021 S_1,1,2021,Canada,North America,Purposive,598,598.0,Mixed Canadian,Anglo,First Episode Psychosis,no,Both,SAPS,Validated,Structured,0.3,23.8,0.01,0.818,10,n_control,125.0
Lemonde 2021,Lemonde 2021 S_1,1,2021,Canada,North America,Purposive,598,598.0,Mixed Canadian,Anglo,First Episode Psychosis,no,Both,SAPS,Validated,Structured,0.3,23.8,0.01,0.818,10,n_persecutory,494.0
Lemonde 2021,Lemonde 2021 S_1,1,2021,Canada,North America,Purposive,598,598.0,Mixed Canadian,Anglo,First Episode Psychosis,no,Both,SAPS,Validated,Structured,0.3,23.8,0.01,0.818,10,n_thoughtinsertion,88.0
Lemonde 2023,Lemonde 2023 S_1,1,2023,Canada,North America,Purposive,149,149.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.327,24.2,0.8,,10,n_thoughtwithdrawal,8.0
Lemonde 2023,Lemonde 2023 S_2,2,2023,India,Asia,Purposive,134,134.0,Indian,Southern Asia,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.512,26.6,0.79,,10,n_thoughtbroadcasting_spokenaloud_dissemination,8.0
Lemonde 2023,Lemonde 2023 S_1,1,2023,Canada,North America,Purposive,149,149.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.327,24.2,0.8,,10,n_thoughtbroadcasting_spokenaloud_dissemination,15.0
Lemonde 2023,Lemonde 2023 S_1,1,2023,Canada,North America,Purposive,149,149.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.327,24.2,0.8,,10,n_jealousy,3.0
Lemonde 2023,Lemonde 2023 S_2,2,2023,India,Asia,Purposive,134,134.0,Indian,Southern Asia,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.512,26.6,0.79,,10,n_jealousy,26.0
Lemonde 2023,Lemonde 2023 S_2,2,2023,India,Asia,Purposive,134,134.0,Indian,Southern Asia,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.512,26.6,0.79,,10,n_thoughtwithdrawal,2.0
Lemonde 2023,Lemonde 2023 S_1,1,2023,Canada,North America,Purposive,149,149.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.327,24.2,0.8,,10,n_control,34.0
Lemonde 2023,Lemonde 2023 S_2,2,2023,India,Asia,Purposive,134,134.0,Indian,Southern Asia,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.512,26.6,0.79,,10,n_control,26.0
Lemonde 2023,Lemonde 2023 S_2,2,2023,India,Asia,Purposive,134,134.0,Indian,Southern Asia,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.512,26.6,0.79,,10,n_persecutory,113.0
Lemonde 2023,Lemonde 2023 S_1,1,2023,Canada,North America,Purposive,149,149.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.327,24.2,0.8,,10,n_persecutory,121.0
Lemonde 2023,Lemonde 2023 S_1,1,2023,Canada,North America,Purposive,149,149.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.327,24.2,0.8,,10,n_reference,92.0
Lemonde 2023,Lemonde 2023 S_2,2,2023,India,Asia,Purposive,134,134.0,Indian,Southern Asia,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.512,26.6,0.79,,10,n_reference,104.0
Lemonde 2023,Lemonde 2023 S_2,2,2023,India,Asia,Purposive,134,134.0,Indian,Southern Asia,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.512,26.6,0.79,,10,n_thought_mindreading,13.0
Lemonde 2023,Lemonde 2023 S_1,1,2023,Canada,North America,Purposive,149,149.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.327,24.2,0.8,,10,n_thought_mindreading,38.0
Lemonde 2023,Lemonde 2023 S_1,1,2023,Canada,North America,Purposive,149,149.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.327,24.2,0.8,,10,n_grandiose_grandioseability_grandeur,65.0
Lemonde 2023,Lemonde 2023 S_2,2,2023,India,Asia,Purposive,134,134.0,Indian,Southern Asia,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.512,26.6,0.79,,10,n_guilt/sin,9.0
Lemonde 2023,Lemonde 2023 S_2,2,2023,India,Asia,Purposive,134,134.0,Indian,Southern Asia,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.512,26.6,0.79,,10,n_somatic,17.0
Lemonde 2023,Lemonde 2023 S_1,1,2023,Canada,North America,Purposive,149,149.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.327,24.2,0.8,,10,n_thoughtinsertion,17.0
Lemonde 2023,Lemonde 2023 S_1,1,2023,Canada,North America,Purposive,149,149.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.327,24.2,0.8,,10,n_guilt/sin,20.0
Lemonde 2023,Lemonde 2023 S_2,2,2023,India,Asia,Purposive,134,134.0,Indian,Southern Asia,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.512,26.6,0.79,,10,n_grandiose_grandioseability_grandeur,16.0
Lemonde 2023,Lemonde 2023 S_1,1,2023,Canada,North America,Purposive,149,149.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.327,24.2,0.8,,10,n_somatic,25.0
Lemonde 2023,Lemonde 2023 S_2,2,2023,India,Asia,Purposive,134,134.0,Indian,Southern Asia,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.512,26.6,0.79,,10,n_thoughtinsertion,9.0
Lemonde 2023,Lemonde 2023 S_1,1,2023,Canada,North America,Purposive,149,149.0,Canadian,Anglo,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.327,24.2,0.8,,10,n_religious,44.0
Lemonde 2023,Lemonde 2023 S_2,2,2023,India,Asia,Purposive,134,134.0,Indian,Southern Asia,First Episode Psychosis,no,Inpatient,SAPS,Validated,Structured,0.512,26.6,0.79,,10,n_religious,13.0
Linskey 1994,Linskey 1994 S_2,2,1994,India,Asia,Purposive,13,,Hindu,Southern Asia,Bipolar Disorder,yes,Both,None used,Not validated,Unstructured,0.308,38.4,6.4,,6,n_thoughtinsertion,0.0
Linskey 1994,Linskey 1994 S_1,1,1994,India,Asia,Purposive,24,,Hindu,Southern Asia,Schizophrenia,no,Both,None used,Not validated,Unstructured,0.5,33.5,7.0,,8,n_thoughtinsertion,1.0
Linskey 1994,Linskey 1994 S_1,1,1994,India,Asia,Purposive,24,,Hindu,Southern Asia,Schizophrenia,no,Both,None used,Not validated,Unstructured,0.5,33.5,7.0,,8,n_reference,9.0
Linskey 1994,Linskey 1994 S_2,2,1994,India,Asia,Purposive,13,,Hindu,Southern Asia,Bipolar Disorder,yes,Both,None used,Not validated,Unstructured,0.308,38.4,6.4,,6,n_reference,1.0
Linskey 1994,Linskey 1994 S_3,3,1994,India,Asia,Purposive,13,,Hindu,Southern Asia,Major Depressive Disorder,yes,Both,None used,Not validated,Unstructured,0.231,44.5,6.2,,6,n_reference,2.0
Linskey 1994,Linskey 1994 S_1,1,1994,India,Asia,Purposive,24,,Hindu,Southern Asia,Schizophrenia,no,Both,None used,Not validated,Unstructured,0.5,33.5,7.0,,8,n_bizarre,3.0
Linskey 1994,Linskey 1994 S_2,2,1994,India,Asia,Purposive,13,,Hindu,Southern Asia,Bipolar Disorder,yes,Both,None used,Not validated,Unstructured,0.308,38.4,6.4,,6,n_bizarre,0.0
Linskey 1994,Linskey 1994 S_3,3,1994,India,Asia,Purposive,13,,Hindu,Southern Asia,Major Depressive Disorder,yes,Both,None used,Not validated,Unstructured,0.231,44.5,6.2,,6,n_bizarre,0.0
